Stkcd,Company_name,Year,Tier,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity,Debt_to_Asset_Ratio,Equity_Ratio,ROE,ROA,Profit_Margin,Asset_Scale_Trillion
000001,PAYH,2020,Large (>5T),4468779000000.0,4104819000000.0,456000000.0,363960000000.0,363960000000.0,0.9185549341330148,0.08144506586698515,1.0,0.08144506586698515,798.1578947368421,4.468779
000001,PAYH,2021,Large (>5T),4921380000000.0,4525932000000.0,1785000000.0,395448000000.0,395448000000.0,0.9196469283005986,0.08035307169940138,1.0,0.08035307169940138,221.53949579831934,4.92138
000001,PAYH,2022,Large (>5T),5321514000000.0,4886834000000.0,2660000000.0,434680000000.0,434680000000.0,0.9183164791072616,0.08168352089273842,1.0,0.08168352089273842,163.41353383458647,5.321514
000001,PAYH,2023,Large (>5T),5587116000000.0,5114788000000.0,2264000000.0,472328000000.0,472328000000.0,0.9154612146946653,0.08453878530533462,1.0,0.08453878530533462,208.62544169611309,5.587116
000001,PAYH,2024,Large (>5T),5769270000000.0,5274428000000.0,2127000000.0,494842000000.0,494842000000.0,0.9142279699164713,0.08577203008352877,1.0,0.08577203008352877,232.64786083685942,5.76927
002142,NBYH,2020,Mid-size (1T-5T),1626749000000.0,1507756000000.0,1100000000.0,118993000000.0,513000000.0,0.9268522679282422,0.0003153528909499868,231.9551656920078,0.07314773207175784,108.17545454545454,1.626749
002142,NBYH,2021,Mid-size (1T-5T),2015607000000.0,1865607000000.0,4371000000.0,150000000000.0,576000000.0,0.9255807307674562,0.00028576999385296836,260.4166666666667,0.07441926923254384,34.317089910775564,2.015607
002142,NBYH,2022,Mid-size (1T-5T),2366097000000.0,2197571000000.0,3651000000.0,168526000000.0,900000000.0,0.9287746867520646,0.0003803732475887506,187.2511111111111,0.07122531324793531,46.15886058614078,2.366097
002142,NBYH,2023,Mid-size (1T-5T),2711662000000.0,2509452000000.0,5801000000.0,202210000000.0,1015000000.0,0.9254294967440633,0.00037430918750198217,199.2216748768473,0.07457050325593677,34.85778314083779,2.711662
002142,NBYH,2024,Mid-size (1T-5T),3125232000000.0,2890972000000.0,15614000000.0,234260000000.0,1109000000.0,0.9250423648548332,0.0003548536556646035,211.23534715960324,0.07495763514516682,15.003202254387089,3.125232
002807,JYYH,2020,Regional (<1T),142766234000.0,130506041000.0,101284000.0,12260193000.0,128700000.0,0.9141240007773827,0.0009014736635835053,95.26179487179488,0.08587599922261731,121.04767781683188,0.142766234
002807,JYYH,2021,Regional (<1T),153127599000.0,139961942000.0,112833000.0,13165657000.0,139862000.0,0.9140216584993277,0.0009133689871281793,94.1331955784988,0.08597834150067225,116.68268148502655,0.153127599
002807,JYYH,2022,Regional (<1T),168751396000.0,154335869000.0,136744000.0,14415527000.0,140563000.0,0.9145753614980465,0.0008329590351951815,102.55562985992046,0.08542463850195349,105.41981366641315,0.168751396
002807,JYYH,2023,Regional (<1T),186029579000.0,169953616000.0,172002000.0,16075963000.0,285289000.0,0.913583833891276,0.0015335679494280852,56.3497470985562,0.08641616610872403,93.46381437425146,0.186029579
002807,JYYH,2024,Regional (<1T),200232115000.0,181373359000.0,236087000.0,18858756000.0,269066000.0,0.9058155281434249,0.0013437704536058063,70.08970289817368,0.09418447185657505,79.8805355652789,0.200232115
002839,ZJGH,2020,Regional (<1T),143817651264.21,132508113122.02,169573511.84,11309538142.19,104426339.94,0.9213619604911151,0.0007261023874472577,108.30158510475513,0.07863803950888507,66.69401382015985,0.14381765126420998
002839,ZJGH,2021,Regional (<1T),164578715094.33,150012862359.34,376423905.99,14565852734.99,148544733.73,0.9114961328587271,0.0009025756073308753,98.05701198041389,0.08850386714127298,38.69534453897557,0.16457871509432997
002839,ZJGH,2022,Regional (<1T),187532755025.44,171806977656.39,223026582.56,15725777369.05,164734027.17,0.9161438364891686,0.0008784280226014532,95.46162161641034,0.08385616351083147,70.51077583910588,0.18753275502544
002839,ZJGH,2023,Regional (<1T),207126798437.95,189915781319.07,440992140.0,17211017118.88,175016389.51,0.9169058892973909,0.0008449722142662796,98.33945933330209,0.08309411070260901,39.0279453027893,0.20712679843795
002839,ZJGH,2024,Regional (<1T),218908026873.13,199013275713.0,710567430.24,19894751160.13,171702643.14,0.9091182199012731,0.0007843597404471226,115.86747178905426,0.09088178009872691,27.99840002997377,0.21890802687313002
002936,ZZYH,2020,Regional (<1T),547813444000.0,501841523000.0,-759159000.0,45971921000.0,1477024000.0,0.9160810646333828,0.0026962171450469184,31.12469465628182,0.08391893536661725,-60.55638015224742,0.547813444
002936,ZZYH,2021,Regional (<1T),574979662000.0,515568122000.0,-242712000.0,59411540000.0,1645358000.0,0.8966719278498585,0.0028615933897154088,36.108579409465904,0.10332807215014155,-244.78204621114736,0.574979662
002936,ZZYH,2022,Regional (<1T),596131114000.0,532939613000.0,-36241000.0,63191501000.0,1815403000.0,0.8939973111351474,0.0030453082507617612,34.80852515942741,0.10600268886485265,-1743.6467260837173,0.596131114
002936,ZZYH,2023,Regional (<1T),630709429000.0,576394573000.0,115343000.0,54314856000.0,1862032000.0,0.9138829173901568,0.0029522818502210786,29.169668405269082,0.08611708260984315,470.8985894245858,0.630709429
002936,ZZYH,2024,Regional (<1T),676365240000.0,620070469000.0,711788000.0,56294771000.0,1849740000.0,0.9167686810753314,0.0027348241609814247,30.433883140333236,0.08323131892466858,79.08923864971031,0.67636524
002948,QDYH,2020,Regional (<1T),459827605000.0,428920747000.0,32717000.0,30906858000.0,621684000.0,0.9327859883488291,0.0013519936455315682,49.714739320941185,0.06721401165117087,944.6727389430571,0.459827605
002948,QDYH,2021,Regional (<1T),522249610000.0,488921882000.0,746499000.0,33327728000.0,692233000.0,0.9361842931773563,0.0013254830386565536,48.1452458926402,0.06381570682264368,44.645375278466545,0.52224961
002948,QDYH,2022,Regional (<1T),536409742000.0,497877643000.0,667487000.0,38532099000.0,734172000.0,0.9281666681586853,0.0013686776031744778,52.483749039734555,0.0718333318413147,57.727115284642245,0.536409742
002948,QDYH,2023,Regional (<1T),607985372000.0,568046129000.0,947211000.0,39939243000.0,875304000.0,0.934308875115502,0.0014396793743912642,45.628996325847936,0.06569112488449805,42.16509626682967,0.607985372
