Stkcd,Company_name,Year,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity
600919,JSYH,2023,3403361837000.0,3144245806000.0,2168785000.0,259116031000.0,8706043000.0
600919,JSYH,2024,3952041570000.0,3638383352000.0,9283147000.0,313658218000.0,10068401000.0
600926,HZYH,2020,1170209707000.0,1089481080000.0,790343000.0,80728627000.0,80728627000.0
600926,HZYH,2021,1391370650000.0,1302040555000.0,2169750000.0,89330095000.0,89330095000.0
600926,HZYH,2022,1616538051000.0,1517964826000.0,1878500000.0,98573225000.0,98573225000.0
600926,HZYH,2023,1841330802000.0,1730037592000.0,3257070000.0,111293210000.0,111293210000.0
600926,HZYH,2024,2112355860000.0,1976307861000.0,5608592000.0,136047999000.0,136047999000.0
600928,XAYH,2020,306391591000.0,280768067000.0,43446000.0,25623524000.0,58138000.0
600928,XAYH,2021,345863917000.0,318260782000.0,59041000.0,27603135000.0,62274000.0
600928,XAYH,2022,405838548000.0,376590585000.0,123720000.0,29247963000.0,62424000.0
600928,XAYH,2023,432201362000.0,401275149000.0,69922000.0,30926213000.0,65568000.0
600928,XAYH,2024,480370120000.0,446898269000.0,303769000.0,33471851000.0,67694000.0
601009,NJYH,2020,1517075765000.0,1409042793000.0,90846000.0,108032972000.0,1156845000.0
601009,NJYH,2021,1748946747000.0,1626381955000.0,925664000.0,122564792000.0,1205007000.0
601009,NJYH,2022,2059483739000.0,1901784904000.0,-829319000.0,157698835000.0,1442643000.0
601009,NJYH,2023,2288275916000.0,2115681851000.0,648358000.0,172594065000.0,3032773000.0
601009,NJYH,2024,2591399702000.0,2399443325000.0,3773241000.0,191956377000.0,3426919000.0
601077,YNSH,2020,1135926443000.0,1041294362000.0,-686483000.0,94632081000.0,1403476000.0
601077,YNSH,2021,1265851070000.0,1159807055000.0,-445472000.0,106044015000.0,1531365000.0
601077,YNSH,2022,1351861116000.0,1236844964000.0,-921970000.0,115016152000.0,1732759000.0
601077,YNSH,2023,1447456543000.0,1325001666000.0,-307137000.0,122454877000.0,1922006000.0
601077,YNSH,2024,1517467458000.0,1385390233000.0,1615984000.0,132077225000.0,1915173000.0
601128,CSYH,2020,208685255000.0,189577801000.0,388381000.0,19107454000.0,1147382000.0
601128,CSYH,2021,246582821000.0,225446117000.0,572412000.0,21136704000.0,1348725000.0
601128,CSYH,2022,287881374000.0,263765708000.0,443168000.0,24115666000.0,1538093000.0
601128,CSYH,2023,334456430000.0,307325494000.0,624116000.0,27130936000.0,1774529000.0
601128,CSYH,2024,367302864000.0,338911527000.0,629103000.0,28391337000.0,1980639000.0
601166,XYYH,2020,7894000000000.0,7269197000000.0,-749000000.0,624803000000.0,9217000000.0
601166,XYYH,2021,8603024000000.0,7908726000000.0,2859000000.0,694298000000.0,10187000000.0
601166,XYYH,2022,9266671000000.0,8509373000000.0,-724000000.0,757298000000.0,11111000000.0
601166,XYYH,2023,10158326000000.0,9350607000000.0,1239000000.0,807719000000.0,11495000000.0
601166,XYYH,2024,10507898000000.0,9614287000000.0,5561000000.0,893611000000.0,11703000000.0
601169,BJYH,2020,2900014000000.0,2678871000000.0,1152000000.0,221143000000.0,1924000000.0
601169,BJYH,2021,3059046000000.0,2832018000000.0,1287000000.0,227028000000.0,1954000000.0
601169,BJYH,2022,3387952000000.0,3077335000000.0,257000000.0,310617000000.0,2144000000.0
601169,BJYH,2023,3748679000000.0,3420447000000.0,2985000000.0,328232000000.0,1317000000.0
601169,BJYH,2024,4221542000000.0,3863202000000.0,9910000000.0,358340000000.0,1269000000.0
601187,XMYH,2020,285150280444.13,265476650518.17,4531769.79,19673629925.96,310365602.16
601187,XMYH,2021,329494574405.99,306229296015.32,252178027.55,23265278390.67,507999712.73
601187,XMYH,2022,371208018622.35,346464169116.75,-39410194.67,24743849505.6,551857969.74
601187,XMYH,2023,390663859002.12,360149815945.03,364081838.12,30514043057.09,640386969.05
601187,XMYH,2024,407794724235.86,375425635263.59,1007280476.44,32369088972.27,729837408.5
601229,SHYH,2020,2462144021000.0,2271205002000.0,3376745000.0,190939019000.0,541129000.0
601229,SHYH,2021,2653198679000.0,2447430234000.0,2464957000.0,205768445000.0,564813000.0
601229,SHYH,2022,2882182545000.0,2665017249000.0,2359444000.0,217165296000.0,582601000.0
601229,SHYH,2023,3085516473000.0,2846467311000.0,4229610000.0,239049162000.0,470332000.0
601229,SHYH,2024,3226948963000.0,2979824335000.0,5235085000.0,247124628000.0,467211000.0
601288,NYYH,2020,27296753000000.0,25132374000000.0,22635000000.0,2164379000000.0,11031000000.0
601288,NYYH,2021,29069155000000.0,26647796000000.0,32831000000.0,2421359000000.0,6754000000.0
601288,NYYH,2022,33927533000000.0,31253082000000.0,37115000000.0,2674451000000.0,6039000000.0
601288,NYYH,2023,39872989000000.0,36976122000000.0,41506000000.0,2896867000000.0,7619000000.0
601288,NYYH,2024,43553293000000.0,40543004000000.0,60211000000.0,3010289000000.0,6567000000.0
601328,JTYH,2020,10795571000000.0,9958894000000.0,61000000.0,836677000000.0,11566000000.0
601328,JTYH,2021,11665757000000.0,10688521000000.0,-4177000000.0,977236000000.0,12589000000.0
601328,JTYH,2022,12992419000000.0,11956679000000.0,-3618000000.0,1035740000000.0,12331000000.0
601328,JTYH,2023,14060472000000.0,12961022000000.0,4126000000.0,1099450000000.0,11420000000.0
601328,JTYH,2024,14900717000000.0,13745120000000.0,15827000000.0,1155597000000.0,11291000000.0
601398,GSYH,2020,33471851000000.0,30649771000000.0,-18874000000.0,2822080000000.0,15801000000.0
601398,GSYH,2021,35398066000000.0,32234781000000.0,-10318000000.0,3163285000000.0,17189000000.0
601398,GSYH,2022,39609657000000.0,36095831000000.0,-20484000000.0,3513826000000.0,18655000000.0
601398,GSYH,2023,44697079000000.0,40920491000000.0,-4078000000.0,3776588000000.0,19701000000.0
601398,GSYH,2024,48821746000000.0,44834480000000.0,47695000000.0,3987266000000.0,17425000000.0
601577,CSYH,2020,704234728000.0,658512218000.0,72053000.0,45722510000.0,1389198000.0
601577,CSYH,2021,796150318000.0,739504359000.0,183709000.0,56645959000.0,1623992000.0
601577,CSYH,2022,904733493000.0,842561236000.0,319168000.0,62172257000.0,1929120000.0
601577,CSYH,2023,1020032943000.0,951713564000.0,437788000.0,68319379000.0,2210381000.0
601577,CSYH,2024,1146747921000.0,1066397629000.0,1350503000.0,80350292000.0,2336647000.0
601658,YCYH,2020,11353263000000.0,10680333000000.0,2725000000.0,672930000000.0,1131000000.0
601658,YCYH,2021,12587873000000.0,11792324000000.0,12054000000.0,795549000000.0,1458000000.0
601658,YCYH,2022,14067282000000.0,13241468000000.0,4918000000.0,825814000000.0,1589000000.0
601658,YCYH,2023,15726631000000.0,14770015000000.0,5034000000.0,956616000000.0,1743000000.0
601658,YCYH,2024,17084910000000.0,16053261000000.0,9071000000.0,1031649000000.0,1980000000.0
601818,GDYH,2020,5388434000000.0,4996991000000.0,2766000000.0,391443000000.0,1131000000.0
601818,GDYH,2021,5902069000000.0,5417703000000.0,3152000000.0,484366000000.0,1877000000.0
601818,GDYH,2022,6300510000000.0,5790497000000.0,-590000000.0,510013000000.0,2130000000.0
601818,GDYH,2023,6834936000000.0,6284532000000.0,1020000000.0,550404000000.0,2328000000.0
601818,GDYH,2024,6959021000000.0,6368790000000.0,10891000000.0,590231000000.0,2531000000.0
601838,CDYH,2020,652433674000.0,606318849000.0,97276000.0,46114825000.0,82211000.0
601838,CDYH,2021,768346337000.0,716324194000.0,122833000.0,52022143000.0,82872000.0
601838,CDYH,2022,917650305000.0,856224024000.0,-235943000.0,61426281000.0,83568000.0
601838,CDYH,2023,1091243069000.0,1019923459000.0,196946000.0,71319610000.0,84383000.0
601838,CDYH,2024,1250116154000.0,1164211707000.0,1308622000.0,85904447000.0,48995000.0
601860,ZJYH,2020,217664378000.0,202849278000.0,104445000.0,14815100000.0,14815100000.0
601860,ZJYH,2021,228384658000.0,213190315000.0,153936000.0,15194343000.0,15194343000.0
601860,ZJYH,2022,227999694000.0,211743754000.0,31188000.0,16255940000.0,16255940000.0
601860,ZJYH,2023,255274901000.0,237783566000.0,122279000.0,17491335000.0,17491335000.0
601860,ZJYH,2024,270962071000.0,251357258000.0,382712000.0,19604813000.0,19604813000.0
601916,ZSYH,2020,2053099000000.0,1922704000000.0,322000000.0,130395000000.0,1987000000.0
601916,ZSYH,2021,2286723000000.0,2119840000000.0,557000000.0,166883000000.0,2714000000.0
601916,ZSYH,2022,2621930000000.0,2456000000000.0,2191000000.0,165930000000.0,2997000000.0
601916,ZSYH,2023,3143879000000.0,2954302000000.0,3408000000.0,189577000000.0,3332000000.0
601916,ZSYH,2024,3325539000000.0,3122796000000.0,6347000000.0,202743000000.0,3840000000.0
601939,JSYH,2020,28298121000000.0,25952251000000.0,13306000000.0,2345870000000.0,23551000000.0
601939,JSYH,2021,30253979000000.0,27639857000000.0,21338000000.0,2614122000000.0,25891000000.0
601939,JSYH,2022,34601917000000.0,31723157000000.0,20793000000.0,2878760000000.0,22027000000.0
601939,JSYH,2023,38324826000000.0,35152752000000.0,23981000000.0,3172074000000.0,21929000000.0
601939,JSYH,2024,40923042000000.0,37579717000000.0,43415000000.0,3343325000000.0,22411000000.0
601963,CQYH,2020,561641397000.0,519647183000.0,602454000.0,41994214000.0,1819217000.0
601963,CQYH,2021,618953620000.0,569706925000.0,911282000.0,49246695000.0,1973507000.0
601963,CQYH,2022,684712563000.0,633217086000.0,-588266000.0,51495477000.0,2158965000.0
601963,CQYH,2023,759883870000.0,700584443000.0,1146715000.0,59299427000.0,2381693000.0
601963,CQYH,2024,856641840000.0,792877922000.0,2502023000.0,63763918000.0,2692945000.0
601988,ZGYH,2020,24703889000000.0,22597996000000.0,9502000000.0,2105893000000.0,126634000000.0
601988,ZGYH,2021,26722408000000.0,24371855000000.0,1417000000.0,2350553000000.0,125400000000.0
601988,ZGYH,2022,28913857000000.0,26346286000000.0,5706000000.0,2567571000000.0,139982000000.0
601988,ZGYH,2023,32432166000000.0,29675351000000.0,34719000000.0,2756815000000.0,127305000000.0
601988,ZGYH,2024,35061299000000.0,32108335000000.0,95268000000.0,2952964000000.0,136733000000.0
601997,GYYH,2020,590680344000.0,546228723000.0,-447301000.0,44451621000.0,1507491000.0
601997,GYYH,2021,608686846000.0,554626745000.0,-221364000.0,54060101000.0,1712221000.0
601997,GYYH,2022,645998467000.0,587345893000.0,-650869000.0,58652574000.0,1985402000.0
601997,GYYH,2023,688068214000.0,624534625000.0,2751000.0,63533589000.0,2012735000.0
601997,GYYH,2024,723944485000.0,658497496000.0,352348000.0,65446989000.0,2028038000.0
601998,ZXYH,2020,7511161000000.0,6951123000000.0,109000000.0,560038000000.0,15465000000.0
601998,ZXYH,2021,8042884000000.0,7400258000000.0,1644000000.0,642626000000.0,16323000000.0
601998,ZXYH,2022,8622384000000.0,7944166000000.0,3827000000.0,678218000000.0,20515000000.0
601998,ZXYH,2023,9052484000000.0,8317809000000.0,4057000000.0,734675000000.0,17453000000.0
601998,ZXYH,2024,9532722000000.0,8725357000000.0,16862000000.0,807365000000.0,18101000000.0
603323,SNYH,2020,139440364000.0,127300176000.0,298957000.0,12140188000.0,119960000.0
603323,SNYH,2021,158724694000.0,145456427000.0,536050000.0,13268267000.0,121045000.0
603323,SNYH,2022,180277961000.0,165949735000.0,375535000.0,14328226000.0,128237000.0
603323,SNYH,2023,202564681000.0,186767919000.0,496243000.0,15796762000.0,13971000.0
603323,SNYH,2024,217502290000.0,200784639000.0,523719000.0,16717651000.0,14364000.0
